id,filename,speaker,tags,transcription,
51,ASK%20MYSELF.wav,tim,"dont know, dunno","who knows, hey I dunno, listen I dont know, do I know?  No I dont",
52,ATTRACTIVE%20GUY.mp3,charlie,"guy, attractive",I think youre an attractive guy!,
53,AUDIENCE%20IS%20SO%20SEXUAL.mp3,tim,"audience, sexual",our audience is so sexual!,
54,AUTOMOBILE%20IN%20MY%20MOUTH.mp3,Rich from Maryland Heights,"mouth, automobile, caller rich, maryland heights",he doesnt even know what automobile he is trying to put in my mouth,
55,AW%20YEA%20SURE.wav,willy,"sure, yea ",awwww yea sure!,
56,AWFUL%20COUGH.wav,cat,"cough, sick",*cough cough*,
57,Anthracite.mp3,willy,"grey, anthracite, jerseys, mizzou football","wheres the grey, wheres the anthracite",
58,AskFixings.wav,stevie janowski,"fixins, kenny power, eastbound and down",,
59,BABE%20IN%20WOODS.mp3,bull,"bull, babe","youre just a babe in the woods, my friend",
60,BACHELOR%20TATOO.mp3,unknown woman,"bachelor, bachelorette, tattoo",my tattoo says you cant someone love someone else until you truly love yourself,
61,BACK%20DOOR.wav,plowboy,"backdoor, plowboy",my backdoor doesnt open,
62,BACK%20TO%20YOU%20TIM.mp3,tom,"tom, salt and smoke",back to you tim,
63,BACK%20TO%20YOU.mp3,doug,"news, broadcast, television, steve","thatll do it.  Back to you, Steve",
64,BACKGROUND%20CHECKS%20FOR%20DOUG.mp3,tj moe,"tj moe, child, molest",im afraid if doug comes to join Im may have to  do backround checks because the child molestors will come with him,
65,BACKING%20MY%20ASS%20INTO%20YOU.mp3,tim,"back, ass",backing my ass into you,
66,BAD%20AND%20BUTT%20UGLY.wav,doug,"bad, ugly","were very bad, and butt ugly",
67,BAD%20BATCH.wav,doug,"bad, batch",you got a bad batch.  Tim: I got a bad batch,
68,BAD%20FOR%20COLON.mp3,"cat, doug",colon,"cat: I think its bad for your colon. Doug: I suspect it is, things get stuffed up in there",
69,BADASS%20AT%20A%20BBQ.mp3,unknown,bbq,I wanna be the baddest ass at the bbq,
70,BALLOON%20PARTY.wav,joe strauss,"party, balloon",lets have a balloon party,
71,BALLS%20DIFFERENT.wav,doug,"balls, different",maybe the balls are a little bit different?!,
72,BANG%20DOUG%20ON%20SIDE.mp3,tim,"bang, sidepiece ",you can still bang doug on the side,
73,BANG%20WEATHER%20GUY.mp3,tim,"banged, little rock, weather guy",I banged the weather guy down in little rock,
74,BANG%20YOU%20RIGHT%20NOW-IGGY.mp3,iggy,"iggy, bang",I would bang you right now if you let me,
75,BANGING%20EVERYTHING%20.mp3,jay jr,"banging, jennings",bangin everything left and right,
76,BAREBACK.mp3,tim,bareback,depends on if you go bareback,
77,BASEBALL%20INSIDERS.mp3,cat,"baseball insiders, sfw",were pure baseball insiders,
78,BAT%20WING%20SEASON.wav,tim,batwing season,batwing season is upon us,
79,BAT%20WING.wav,tim,batwing,can you see my batwing today?,
80,BATH%20ROBE.wav,jeff abeln,"bathrobe, p diddy",I went with like a white pdiddy bathrobe,
81,BEAKER.wav,willy,"beaker, kansas",beaker!,
82,BEARCLAWS.wav,charlie,"bearclaws, charlie","I used to eat bearclaws, two at a time",
83,BED%20N%20BREAKFAST.mp3,cat,bed n breakfast,bed and breakfast?  Thats the way.no,
84,BEGGING%20FOR%20FOOD.mp3,charlie,"suck, food, begging","ugh these guys suck, begging for food already",
85,BEING%20A%20GOOD%20BOTTOM.mp3,tim,"bottom, bottoming","its like being a bottom, a really good bottom, youre used to is",
86,BEING%20AROUSED.mp3,charlie,"guy, aroused",guy being aroused,
87,BEING%20WITH%20A%20GENTLEMAN.mp3,unknown man,gentleman,"well it started as that, and it turned into just being with a gentleman",
88,BELLS.wav,sound effect,"winner, email of day winner",*email of day winner bells*,
89,BERMAN.mp3,charlie,chris berman,*berman like noise*,
90,BEST%20IN%20THE%20WORLD%20AT%20WHAT%20I%20DO-LARRY.mp3,larry,"best, larry, lawrence, nickel","yea, Im the best in the world at what I do",
91,BEST%20SEX-TIMBERFAKE.mp3,timberfake,"sex, timberfake, playbaby",thats the best sex that Ive ever had though,
92,BEST%20THING%20YOU'VE%20EVER%20SAID.mp3,charlie,"best thing, charlie, agreement, sfw",that would be the best thing youve ever said,
93,BETTER%20THAN%20CHICAGO.mp3,cat,"chicago, sfw",were better than chicago,
94,BETTER%20THAN%20DOUG.mp3,caller adam,"doug, savard, kmov","doug youre nothing but a talking head, savards better than you, shut up",
95,BFIB%20CHECK%20IN.wav,joe strauss,"bfib, best fans, strauss",the bfib check in,
96,BFIB%20WAVE.mp3,unknown man,"bfib, wave","the waves horrible, the bfibs love it!",
97,BIG%20BALLS.wav,willy,"balls, willy","oh, theyre big balls",
98,BIG%20BIG%20PROBLEM.mp3,doug,big problem,"they have a big, big problem with that one",
99,BIG%20BOOBS-ADAM.mp3,caller adam,"boobs, caller adam, big boobs",she has real big boobs,
100,BIG%20BOYS=GRETZKY.mp3,wayne gretzky,"big boys, wayne gretzky",theres some big boys out there,
101,BIG%20ISSUES.mp3,unknown man,"big issues, sit in corner",doug just go sit in a corner and pretend these arent big issues,
102,BIG%20LOIN.mp3,plowboy,"big loin, plowboy, loin",it was kind of a big loin,
103,BIG%20MAN.wav,charlie,"big man, call in, sfw",why dont you call in big man,
104,BIG%20MAN%20(DANNY%20MAC).wav,danny mac,"big man, danny mac, dan",do it yourself big man!,
105,BIG%20ONE.wav,plowboy,big one,its a big one,
106,BIG%20SAUSAGE.mp3,alpena,"big sausage, alpena",do you wanna get a big sausage tonight?,
107,BIG%20TWIG.wav,darren pang,"twig, pang, hockey",he got the big large twig on that one!,
108,BIRTHDAY%20DRUNK.mp3,larry,"drunk, larry, birthday","cuz its my birthday today, I might get drunk",
109,BISCUIT.wav,Rich from Maryland Heights,"rich, maryland heights, biscuit, delightful, mcdonalds","when you get a nice fresh biscuit, its delightful",
110,BISEXUAL%20FRIENDS.mp3,katie kay,"bisexual, katie kay",my best friend in college is bisexual,
111,BIT%20OF%20A%20FUSS.wav,willy,"fuss, morning","youre in a bit of a fuss this morning, arent ya",
112,BITCHES%20DIG%20ME.mp3,tim,"dig, bitches",man bitches dig me,
113,BLACK%20GENTLEMAN.mp3,doug,"black gentleman, manchild, toe ring",shes looking for a black gentleman,
114,BLACK%20MAN.wav,tim,"black man, manchild, toe ring",have you ever been with a black man?,
115,BLACK%20QUARTERBACKS.mp3,jay jr,"jay, african american, quarterback","if youre drunk at 2 in the morning and wanna be with an african american quarterback, heres my number",
116,BLACKHAWKS=LESBIANISM.mp3,tim,"lesbian, lesbianism, blackhawks",the blackhawks provide the most likely scenario for lesbianism,
117,BLONDTH.wav,tim,blond,blondth,
118,BLOW%20DOUGS%20TOP-LARRY.mp3,larry,"larry, top",I was trying to get doug to blow his top,
119,BLUES%20DID%20IT.mp3,tim,blues,"well doug, the blues did it",
120,BLUFFING.mp3,unknown man,bluffing,you think Im bluffing?,
121,BO%20HART.mp3,tim,"bo hart, tattoo, ass cheek",I have a bo hart on my left asscheek,
122,BO%20HART.wav,doug,bo hart,bo hart was a heckuva player,
123,BOB%20HOPE%20OF%20SPORTS%20TALK.mp3,tim,"bob hope, radio",hes the bob hope of local sports talk,
124,BOBBY%20VESTAL%20SUCKS.mp3,timberfake,"bobby vestal, bobby bestal, timberfake, sucks",bobby vestal that guy sucks,
125,BOOBAGE.mp3,unknown woman,boobs,a lot of boobage,
126,BOOBS%20GALORE.mp3,jay jr,boobs ,shes got boobs galore,
127,BOOM-SHAKA-LAKA.wav,joe roderick,boom shaka laka,"boom shaka laka, I got a hand, thatll rock your cradle",
128,BOOZED%20UP.mp3,tim,"boozed, booze, drunk, party",just get really boozed up,
129,BOSSY%20CHATTERBOX.wav,cat,"bossy, chatterbox, talkative",youre a bossy chatterbox,
130,BOTH%20OF%20THEM.mp3,tim,"both, bofem",bof of em,
131,BOUNTIFUL%20LOIN.mp3,cat,"loin, bountiful, cat",you happen to have a bountiful loin,
132,BOUT%202%20GET%20REAL.wav,doug,"real, real in here",its bout to get real in here,
133,BOW%20TIE.mp3,tim,bowtie,why the bowtie?,
134,BOY%20CANAL.mp3,tim,boy canal,keep that boy canal nice,
135,BOY%20DUNGEON-LARRY.mp3,larry,"boy dungeon, larry",your boy dungeon ,
136,BOY%20PIG.wav,cat,"boy pig, cat",I like when you call me a boy pig,
137,BOY%20WHORE.mp3,tim,boy whore,"yea, Im a boy whore",
138,BOYCOTT%20KMOV.mp3,caller adam,"kmov, caller adam, local news","boycott KMOV, its a piece of crap station",
139,BREAKING%20IT%20DOWN.mp3,caller ellen,"breaking it down, ellen",well you guys just keep breaking it down,
140,BREWERS%20SERIES.mp3,charlie,"brewers, charlie, baseball series, cardinals, sfw","Ill tell ya what, Im excited for this brewers series",
141,BROAD%20BANG%20ME.mp3,tim,"broad, bang",just another broad who wants to bang me,
142,BROKER%20OUT%20TIME%20BITCH.mp3,tim,"broker, time, am sports talk radio",I broker out the time bitch,
143,BRUCE%20PEARL.wav,rondo,"bruce pearl, tennesee, rondo",free bruce pearl,
144,BUFFERING.wav,plowboy,"buffering, plowboy",oh its buffering so bad right now,
145,BUILT%20A%20BRIDGE%20AND%20GOT%20OVER%20IT.mp3,larry,"bridge, get over it, larry","I built a bridge, and got over it",
146,BULL%20AND%20APACHE%20SHARE.mp3,bull,"bull, apache, mistress amy, share",mistriss amy is shared by me and the apache,
147,BULL%20IS%20NOT%20A%20WHORE.mp3,bull,"bull, whore",im not the big whore that everybody makes me out to be,
148,BULL%20NEVER%20GIVES%20UP.mp3,bull,"bull, give up",a bull never gives up,
149,BULL%20POTENTIAL.mp3,bull,"bull, potential",he has the potential to be a great bull,
150,BULLS%20ARE%20DOMS.mp3,bull,"bull, sub, dom, bdsm","bulls arent subs, were doms",
151,BUNCH%20OF%20IDIOTS.wav,unknown man,idiots,buncha idiots out here,
152,BURLEY%20GENTLEMAN.mp3,doug,"gentleman, bear, burley",would you consider yourself a burley gentleman?,
153,BURN%20IN%20HELL.wav,willy,"willy, burn in hell","youre going to burn in hell, pal",
154,BURN.wav,tim,burn,burn!,
155,BUSINESS%20WILL%20TREBBLE.wav,cat,"treble, business, jhe",their business would treble,
156,BUT%20C'MON.wav,unknown man,cmon,"but, uh, cmon",
157,BUSINESSMEN%20SPECIALS.mp3,doug,business mans special,business mans special,
158,BUTTPLUG-R2D2.mp3,tim,"r2d2, buttplug",I have an r2d2 that I use as a buttplug,
159,Bam%20Gerbil.mp3,steve harvey,"gerbil, steve harvey","bam, gerbil!",
160,C'MON%20CAT.wav,rudy,rudy,cmon cat,
161,C'MON!!.wav,charlie,"cmon, charlie, sfw",cmon!,
162,CAL%20MAY%20(STAN).mp3,calmay,"stan musial, sick, matt carpenter, lackey, calmay","matt did you know in the top of the 4th, don mattingly said that it makes him think that stan musial is in that body and running around here",
163,CAL%20MAY%20LAUGH.mp3,calmay,"laugh, calmay",hahaha,
164,CAL%20MAY-BALL%20IN%20HOOP.mp3,calmay,"hoops, calmay, basketball",coach what goes through your mind when you see the ball actually go through the hoop there,
165,CAL%20MAY-WISCONSIN%20PLAYER.mp3,calmay,"calmay, wisconsin, coach",coach how cool was it that it was a wisconson player that sank the winning shot?  ,
166,CALL%20IN%20(CAT).mp3,cat,"call in big man, call-in",call in big man!,
167,CALL%20IN%20(MIX).wav,doug,call in big man,doug: call in    -    danny mac: big man!,
168,CALL%20IN%20BEFORE%20BED.mp3,larry,"call in, bed, larry",Ill call in before I go to bed tonight,
169,CALL%20IN%20DUDE.wav,plowboy,"call in, dude, plowboy","why dont you call in, dude",
170,CALL%20IN%20PRINCESS.wav,willy,"princess, call in, willy",why dont you call in princess,
171,CALL%20YOU%20DADDY.mp3,unknown woman,daddy,I like calling you daddy!,
172,CALLER%20ADAM-FAN%20PAGE.mp3,caller adam,"fan page, finpin, facebook",tim did you see what happened on the fan page last night?,
173,CALLER%20JORDAN%20A%20SMOKE%20SHOW.mp3,tim,"caller jordan, smokeshow","caller jordan is a smokeshow, doug needs to get with that",
174,CAN%20I%20BE%20SUSPENDED%20.mp3,gabe,"suspended, gabe, suspension",can I be suspended for like 20 mins?,
175,CAN%20I%20CONTINUE-LARRY.mp3,larry,"continue, larry, interrupt ",can I continue doug?,
176,CANNOT%20VALIDATE.mp3,tim,validate,"we wanna make it clear, we cannot validate",
177,CANT%20FIGHT%20KARMA.wav,Rich from Maryland Heights,"rich, maryland heights, karma","you cant fight karma, karma will always win",
178,CARBON%20FOOTPRINT.mp3,charlie,"footprint, carbon, polution",reduce your carbon footprint,
179,CARDINALS%20LOST-MIKE%20LEE.mp3,mike lee,"cardinals lost, mike lee","cardinals lost again, huh?",
180,CARDINALS%20OFFENSE-SLAP%20DICK%20AROUND.mp3,tim,"slap dick, cardinals offense",the offense continues to just slap dick around,
181,CARDINALS%20STINK.mp3,mike lee,"mike lee, cardinals stink",cardinals stink!,
182,CARDINALS%20WON-MIKE%20LEE.mp3,mike lee,"mike lee, cardinals won",cardinals won huh?,
183,CARDS%20ARE%20COMING.mp3,larry,"larry, cardinals are coming, tra la","by the way, the cardinals are coming, tra la tra la",
184,CARDS%20FANS%20BITCHY.mp3,doug,"cardinal fans, bfib, bitchy, racist",cardinal fans are bitchy and racist,
185,CARE.wav,frank,"do you care, frank",do you care?,
186,CARLOS%20MARTINEX%20TATS-TIMBERFAKE.mp3,timberfake,"carlos martinez, timberfake, tattoo, momma","I get tattoos of carlos martinez, on my mama",
187,CARLOS%20MARTINEZ.mp3,tim,carlos martinez,carlos martinez! Another great start!,
188,CARRY%20ON.wav,unknown man,carry on,carry on,
189,CASE%20CLOSED.wav,plowboy,"plowboy, case closed",case closed,
190,CASSIDEY.wav,cassidey,"cassidey, porn, stag",yeah!,
191,CAT%20AND%20DOUG%20SEX-FRANK.mp3,frank,frank,"jim the cat hayes, having action with doug vaughn",
192,CAT%20BULLCRAP.mp3,cat,"bullcrap, cat","boy, Im tired of hearing your bullcrap",
193,CAT%20FANS-STRAUSS.mp3,tim and strauss,"cats fans, strauss",tim: and what are the cats fans?  Strauss: delusional for sure,
194,CAT%20IS%20ELITE.mp3,charlie,"charlie, elite, status, cat",the cat though has really reached elite level status,
195,CAT%20SOUND.wav,tim,"cat noise, purr",*kitten purr**,
196,CAT%20WEARS%20PRADA.wav,tim,"cat, prada, clothes",the cat wears prada!,
197,CAT'S%20POEM.mp3,cat,"poem, cat, freedom","birds, tree life, fly fly fly, picking pecking poking, freedom",
198,CATS%20A%20COOL%20CAT-TIMBERFAKE.mp3,timberfake,"cat, cool, timberfake",the cats a cool cat!,
199,CATS%20FAT%20ALBERT%20IMPRESSION.mp3,cat,"fat albert, cat",**fat albert sounds**,
200,CAUGHT%20ME%20WET.mp3,unknown man,wet,ya caught me wet,
201,CAULKS.wav,cat,"cat, caulks, white, whites",you dont want to hang out with caulks!,
202,CBS%20SPORTS%20GAYER%20THAN%20YOU.mp3,charlie,"cbs 920, gay, gayer","cbs sports 920, we are gayer than you",
203,CELEBRITY.wav,willy,"celebrity, willy",I am like a celebrity in that neighborhood,
204,CELLULITE.wav,tim,"cellulite, fat",cellulite on cellulite brother,
205,CENTRAL%20DIV%20=%20BANGED.mp3,tim,"central division, banged",so if youre in the central division you just get banged,
206,CHAMBERS.wav,tretter,"chambers, tretter",chambers you my boy!,
207,CHAMP.mp3,timberfake,"champ, timberfake, strap, boxing",im the champ,
208,CHAMPION.wav,willy,"champion, willy",im a champion brother,
209,CHAPPS%20GO%20DIE.mp3,charlie,"charlie, chapps, die",chapps go die,
210,CHARITY.wav,cat,"wallet, shut up, cat",open your wallet and close your yap,
211,CHARLIE%20AS%20DOUG.mp3,charlie,"news, sportscast, sports final, kmov, ktvi, fox","good evening, sports fans, doug vaughn here with your sportscast.  Our top story tonight, Jon Jay will be back tomorrow, heres him getting a hit in 2012",
212,CHARLIE%20IDOKI.mp3,charlie,"koko idoki, charlie, golf",okie dokie kokie idoky!,
213,CHARLIE%20LAUGH%202.mp3,charlie,"laugh, charlie, sfw",ha ha,
214,CHARLIE%20LAUGH.wav,charlie,"laugh, charlie",ha ha ha,
215,CHARLIE%20NOT%20A%20CARDINALS%20FAN.mp3,charlie,"cardinals fan, charlie, sfw",im not neccesarily a big st. louis cardinals fan,
216,CHARLIE'S%20SPANISH.mp3,charlie,"spanish, bano, charlie",puedo ir al bano?,
217,CHARLIES%20UNDERWEAR.mp3,cat,"charlie, underwear",and youd like charlies underwear?,
218,CHASING%20TAIL.mp3,charlie,"chasing tail, charlie",been chasing tail,
219,CHECK%20PLEASE.mp3,cat,"check please, cat",check please!,
220,CHERRY%20BOMBS.mp3,akoostic sessions ,"cherry, bombs, moms, akoostic sessions","cherry bombs, smoke bombs with ya moms",
221,CHEST%20SLAP.mp3,patrick imig,"chest slap, imig",give a chest slap to willy,
222,CHICAGO.wav,joe strauss,"strauss, chicago",hey were better than chicago!,
223,CHICKY-CHICKY%20PARM%20PARM.mp3,doug,"chickey parm, chicken, parmesan",chicky chicky parm parm,
224,CHIEF%20JUSTICE.wav,tim,chief justice,cmon chief justice!,
225,CHILL%20OUT.mp3,unknown man,chill out,yea Im here man chill out,
226,CHIN%20STRAP%20BUCKLED-HOUSTON%20NUTT.mp3,houston nutt,"chin straps, houston nutt","if you dont have two chin straps buckled, you gonna get beat!",
227,CHOCOLATE%20BUNNIES.mp3,frank,"chocolate bunnies, frank",frank do you like chocolate bunnies?,
228,CHOCOLATE%20LONG%20JOHNS.wav,unknown woman,"woman, chocolate long johns, donuts",chocolate long johns are my favorite,
229,"CHOCOLATE,%20THICK.wav",willy,"chocolate, thick","chocolate, thick",
230,CHOKE%20LIKE%20A%20WHORE.mp3,unknown man,"choke, whore, gag",I choke like a whore without a gag reflex,
231,CITY%20LOVES%20WILLIE.wav,willy,willy,the city loves willy,
232,CLASSIC%20GO%20TO%20BAT.mp3,unknown man,"classic go to bat, fsn","classic, go to bat!",
233,CLEAN%20THOSE%20FIXINS.wav,kenny powers,"fixins, kenny powers, eastbound and down",you clean up those fixins right now!,
234,CLINE%20ZOMBIE.wav,david cline,"david cline hedonism, zombies",david cline singing zombies,
235,CLIP%20THAT%20OFF.mp3,plowboy,"clip that off, plowboy, sfw",clip that off,
236,CLOSE%20ENOUGH%20JACKASS.mp3,charlie,"close enough jackass, charlie","thats close enough, jackass",
237,COACHING%20IN%20ST%20LOUIS.mp3,prodjoe,"producer joe, prodjoe, coaching, rams, sfw",boy theres a high bar set here for coaching in st. louis apparantly,
238,COME%20DOWN%20UPON.mp3,prodjoe,"cum, come down upon, prodjoe, producer joe",doug deserves to be come down upon as well,
239,COME%20HERE%20BIG%20FELLA-FRANK.mp3,frank,"big fella, frank",come her big fella,
240,COME%20ON%20IN%20WATER%20IS%20WARM.mp3,tim,"water, warm, come in",come on in the water is warm,
241,COME%20ON%20OUT.wav,tim,"come on out, inside","it didnt remain inside of me, oh, come on out",
242,COME%20ONTO%20YOURSELF.mp3,cat,"come onto, cat, hit on","well you stand in line, and you come onto yourself",
243,COMING%20ON%20MY%20CHEST.mp3,tim,"come, chest, cometh, x-man",the x-man cometh all over my chest,
244,COMING%20OUT.wav,tim,coming out,oh wow looks like someone is coming out,
245,COMING%20TO%20THE%20BALLYARD.mp3,tim,ball yard,are any one of you guys coming to the ballyard tomorrow,
246,COMMERCIALS.wav,unknown man,commercials,nice listening to all of those commercials you were rolling out there before you had me on,
247,COMPLIMENT%20FOR%20DOUG-GOOLD.mp3,goold,"compliment, doug, goold",I had a compliment ready for doug,
248,CONDESCENDING%20RESPONSE.wav,tim,"response, condescending",I appreciate the condescending response,
249,CONGA%20LINE.mp3,cat,"conga, singing",*cat making singing noises*,
250,CONGRATULATIONS.wav,erin andrews,"erin andrews, congratulations ",congratulations!,
251,COON%20SKIN%20PANTIES.wav,doug,coonskin boy panties,where they able to fit you in some coon skin boy panties?,
252,COUNTRY%20JUSTICE.wav,doug,"justice, country",thats country justice there!,
253,CRABASS%20DOUG.mp3,unknown man,"crabby, grumpy",so doug why you being such a crabass today to all the callers?,
254,CRAPPY%20GAME.mp3,tim,crappy game,that was a crappy game,
255,CREEPAHOLIC.wav,plowboy,"creepy, creepaholic",creepaholic,
256,CUBS%20CUBS%20CUBS.wav,unknown man,cubs,cubs cubs cubs,
257,CUCKED%20BY%20THE%20BULL.mp3,tim,"bull, cuck","well didnt jimmy the bull try to cuck you, bro?",
258,CUCKHOLD-PLOWSY.mp3,plowboy,"cuckold, plowboy",thats not considered cuckold in my eyes,
259,CUCKOLD%20BEAT.mp3,tim,cuckold beat,from the cuckold beat,
260,CUCKOLD%20JAY%20JR.mp3,jay jr,"jennings, cuckold",that would have been an early cuck situation,
261,CUCKOLD%20ON.mp3,alpena,"cuckold, alpena","if you can get your cuckold on, do it!",
262,CUCKOLD%20SCENE.mp3,tim,cuckold,theres a cuckold scene?,
263,CUCKOLD%20SITUATION.mp3,plowboy,"plowboy, cuckold",yes I have a cuckold situation,
264,CUDDLE%20UP.wav,jay jr,"cuddle, jay",cuddle up!,
265,CUDDLE-FREAKOUT.mp3,unknown man,"cuddle, twink","if you told me I couldnt cuddle with someone, Id freak out",
266,CUETO%20GREAT-O.mp3,charlie,"cueto, charlie, 2Fox","cueto cueto, really greato",
267,CURIOUS%20HAND.mp3,tim,"curious, loin, hand",but then all the sudden you find yourself with a curious hand in your loin,
268,CURIOUS%20YOUNG%20LADY.wav,unknown woman,"curious, lesbian",I was a curious young lady!,
269,CUTIE%20PANTS.mp3,cat,"cutie pants, cat","bring it over here, cutie pants",
270,Cal%20May%20=%20Heyward.wav,cal may,"cal may, calvin, heyward",what did your grandma think?,
271,Cal%20May%20with%20Another%20Terrible%20Question%20to%20Brandon%20Moss.mp3,cal may,"cal may, brandon moss",were you surprised on how far the homerun went?,
272,Charlie%20Wants%20To%20Marry%20Doug.mp3,charlie,"married, wife","doug was never going to leave his wife for me, so I figured I might as well marry a woman",
273,DA%20RAIDERS.mp3,charlie,"raiders, berman",da raiders!,
274,DAMN%20COLD.wav,doug,cold,so damn cold!,
275,DAMN%20GINA.wav,tim,gina damn,damn gina!,
276,DAMN%20JANIE.mp3,tim,janie damn,damn janie!,
277,DAMNIT%20WEEZER.wav,tim,damn weezer,damnit weezer!,
278,DAN%20MARSHALL-WOMEN%20STATION.mp3,dan marshall,"dan marshall, the woman 1380",the woman station was just something that hit me like a bolt of lightening ,
279,DANCE%20LTD.mp3,doug,dance,"did you dance like the dickens, did you?",
280,DEALS%20A%20DEAL.mp3,plowboy,deals,deals a deal,
281,DECATUR.wav,unknown man,decatur,"decatur, I hardly know her",
282,DARN%20SERIOUS%20JOURNALISM.wav,dougq,"journalism, 4fox, kmov",I thought it was darn serious journalism,
283,DARN%20TOOTIN.wav,cat,darn tootin,youre darn tootin,
284,DAY%20BY%20DAY.wav,plowboy,day by day plowboy,I just uh live day by day buddy,
285,DAY'S%20WORK%20DOUGIE.wav,unknown man,days work,"all in a days work, dougie",
286,DECENT%20QUESTIONS.wav,unknown man,decent questions,do you guys have any decent questions?,
287,DEEP%20AND%20SOFT%20KISSING.mp3,tim,"kissing, lesbian, soft",are you engaging in a lot of deep and soft kissing right now?,
288,DEEP%20KISSING.mp3,jay jy,"kissing, #fff",do you like deep kissing or soft kissing?,
